ID|Emotion|Factor|Situation|Memories
24|Anger|Anger-2|When your classmates are bullied. You have been bullied yourself and know how it feels. You get angry because you cannot help being different, having glasses, or being oddly dressed.|During class, I notice a number of my classmates are involved in interactions with a group of students. These interactions occur within my field of vision.~My mind brings up memories of past situations where I found myself in the center of similar interactions, which were centered around aspects such as the glasses I wore and the clothes I chose.~I become aware of physiological changes such as an increase in my heart rate and my hands involuntarily forming into fists while I am observing these interactions.~I deliberate on whether to step in and address the situation. Despite the consideration, I ultimately decide to stay where I am and continue to watch the events unfold.~Upon reflection at a later time, I think about the day's occurrences and take note of my own responses to the behaviors I witnessed.
25|Anger|Anger-2|When older students physically bully a smaller classmate who is defenseless, it angers you.|During a regular school day, I see a group of older students surrounding a smaller classmate. It appears they are engaging in unwelcome physical contact with the smaller student who remains passive throughout the interaction.~While observing the event, I notice the smaller classmate does not respond with any defensive or aggressive movements to counteract the older students' actions.~Deciding to respond to what I'm witnessing, I walk over to the location where the interaction between the older students and the smaller classmate is taking place.~Upon arriving at the scene, I initiate a dialogue with both the older students and the smaller classmate, addressing each party in the context of their current activities.~After the intervention, I proceed to inform the school authorities by detailing the incident and ensuring that all relevant information is communicated.
26|Anger|Anger-2|You get angry when your two brothers start a fight with you, particularly when your parents are not around. When they hit you in the belly, causing pain that makes you mad and retaliate, they respond by hitting you even harder.|I am spending time in the living room with my two brothers when a disagreement begins.~As we exchange words, the situation develops into a physical one, and I receive a hit in the abdomen.~Following the hit, I instinctively react with a physical response directed at both of my brothers.~Upon my reaction, my brothers increase the intensity of their physical actions in the dispute.~The physical exchange between us persists, and there are no parents present to intervene.
27|Anger|Anger-2|When your pal has a book she won't show you. Because you think she has written something about you.|During a gathering, I observe that my friend has a book in her possession which she frequently consults and writes in.~With a sense of curiosity, I inquire with my friend about the contents of the book and express an interest in viewing it.~My friend responds to my inquiry by stating that the book contains personal entries and declines to share its contents with me.~Following her response, I contemplate the possibility that the book may contain entries that pertain to me.~Despite my earlier curiosity, I decide to honor my friend's wish for privacy and do not press the matter further, opting instead to carry on with the activities of the day.
28|Anger|Anger-2|You get angry when one of the girls in your class is teasing you. It's not fun to get mad, you think.|I am seated at my desk in the classroom when a girl in my class begins to speak to me. Her words are directed towards me and consist of various remarks.~I hear what the girl says and choose to reply. My response is a statement aimed at addressing the situation directly with her.~Our conversation continues as we exchange words. The discussion is centered around the remarks she made, and we both contribute to the dialogue.~After a period of back and forth, I make a decision to cease my participation in the conversation. I choose to remain silent for the duration of the class without further engagement.~Once the class concludes, I gather my belongings and exit the room. There is no additional contact or communication with the girl as I leave.
39|Anger|Anger-3|When you're tired and busy with your homework and things go wrong, you get mad. Because you're tired and you think everything goes wrong.|I glance at the clock and notice the time indicating that it is later than I had planned. The homework I need to complete remains unfinished on my desk.~I sit down at my workspace and proceed to open my textbook to the section required for the assignment. I observe that the surface of my desk is crowded with various papers and other books.~I begin to tackle the homework problems and find that certain concepts in the material are difficult to grasp, which complicates my progress on the assignment.~Once the assignment is finished, I attempt to print the document. However, upon initiating the print command, the printer remains inactive. I examine the printer and discover that it has run out of paper.~Deciding to take a short break, I prepare a cup of coffee. Upon returning to my desk with the coffee, I accidentally spill it onto my textbook. The coffee quickly soaks into the pages, causing the ink to run and the text to become obscured.
40|Anger|Anger-3|When everything goes wrong. You're alone, there is no one else to blame. Something breaks down, and you don't have a clean blouse to put on. You get mad at yourself for not having washed that blouse, etc. It's your laziness and dullness you get mad at. If someone is there with you, for example, your mom, you will blame your laziness on her.|Upon attempting to use a piece of equipment that is part of my regular routine, I discover that it is not in working order.~I open my wardrobe to find a specific clean blouse for the day's activities. However, I find that the blouse I intend to wear is not in a clean state.~I realize that I had not conducted laundry duties recently, which would have included washing the blouse I intended to wear.~My mother enters the room. I contemplate the idea of discussing the absence of clean clothes and whether it might be connected to anything she may or may not have done.~Choosing to set aside the issue of the blouse, I select a different article of clothing to wear. Subsequently, I turn my focus to the malfunctioning equipment and begin to consider what steps I might take to rectify the situation.
41|Anger|Anger-3|When local tycoons or people in high positions abuse power. It is not the money that makes you mad but the fact that such idiots can have such a high position.|On multiple occasions, I observe individuals with considerable wealth or high-ranking positions as they interact in various professional and social contexts. It becomes apparent that some of these individuals occasionally engage in actions that might not align with widely accepted ethical standards.~During meetings and public events, I notice specific decisions made by these individuals. These decisions, at times, appear to primarily serve their personal or professional interests, with less apparent regard for the collective benefit of the community or the official objectives of their organizations.~In the course of these observations, I become aware of the varied reactions from people in my surroundings. Some individuals voice their concerns regarding the equity and integrity of the decisions being made, while others display a range of attitudes from indifference to support.~Motivated by a need to understand the situation better, I undertake a series of research activities. This research reveals that the behaviors I've noted are part of a broader pattern and not merely isolated occurrences.~I spend time contemplating the structures and mechanisms that permit such a concentration of power and the potential it holds for misuse. My thoughts extend to the broader implications these practices may have on society and the principles of governance.
42|Anger|Anger-3|When you wake up and put on your sweater, but you get it wrong. That you get your sweater all wrong.|I get out of bed and begin the process of getting ready. I open my closet and choose a sweater to wear.~I slide my arms through the sleeves of the sweater and pull it towards my head to wear it.~After the sweater is on, I feel the fit is awkward and the fabric sits unevenly on me.~I take a closer look at the sweater and notice that the tag is on the front. It dawns on me that the sweater has been put on inside out and reversed.~I carefully take off the sweater, paying attention to its orientation. I then redress, making sure the sweater is the right side out and facing the correct direction.
43|Anger|Anger-3|When the alarm has rung in the morning, but you stay in bed and fall asleep again. That you don't have time to get ready in peace and quiet but have to fling your clothes on before leaving.|The alarm begins to emit sound, signaling the start of a new day. I reach over and deactivate the alarm. The comfort of the bed leads me to a state of rest once again.~Upon awakening, my attention is drawn to the clock. It indicates the progression of time, which suggests a condensed timeframe for today's preparations.~Rising from the bed with haste, I hastily select clothing and attire myself. My actions are expedited, bypassing customary morning activities.~I gather items of importance for the day's requirements. Exiting my place of residence, I initiate the journey towards my obligations.~Ensuring the security of my dwelling, I engage the lock and move forward, having allocated a diminished duration for morning preparations.
53|Anger|Anger-4|Someone is driving very close to your rear bumper.|As I drive, I observe in the rearview mirror that there is a vehicle that appears to be maintaining a consistent short distance from the back of my car.~I glance down at the speedometer to verify my speed and ascertain that it is within the legal limit.~Despite the variations in traffic flow, I note that the vehicle behind me persists in keeping the same close distance.~When the opportunity presents itself, and it is safe to do so, I make the decision to switch to an adjacent lane, providing the following vehicle with the option to overtake.~Post lane change, I watch through the mirror as the vehicle that was previously behind me increases its speed and continues to travel down the road.
54|Anger|Anger-4|Someone cuts in right in front of you on the motorway.|I am traveling on the motorway, adhering to the speed regulations.~Another vehicle comes into view, approaching from behind at an increased velocity.~The driver of the other vehicle positions their car ahead of mine, which results in a smaller space between our vehicles than before.~In response, I ease off the accelerator, allowing my vehicle to slow down and recreate a safer distance from the car that is now ahead.~With the adjusted spacing, I proceed along the motorway, ensuring a consistent and secure gap is maintained behind the vehicle that moved in front.
55|Anger|Anger-4|Someone cuts in and takes the parking spot you have been waiting for.|I turn into the parking lot and locate an available parking spot. I adjust the position of my vehicle to align with the spot for parking.~As I prepare to move into the parking spot, another vehicle enters the parking lot and moves into the space ahead of my vehicle.~I stop my vehicle briefly and notice that the other vehicle has completed parking in the spot I had identified.~I proceed to drive through the parking lot, continuing to look for an available space to park.~After searching the lot, I find another parking spot that is unoccupied. I steer my vehicle into the spot and park there.
56|Anger|Anger-4|Someone backs out right in front of you without looking.|I am operating my vehicle at a consistent pace, ensuring compliance with the established traffic regulations.~My attention is drawn to a stationary automobile positioned on the curb to my right.~The stationary automobile suddenly engages in a reverse action, encroaching onto the thoroughfare without any signaling.~In response, I engage the braking system of my car to create a safe distance between my vehicle and the other, thus averting potential contact.~Once the other vehicle ceases its backward trajectory, I navigate my car around it and resume my journey along the road.
57|Anger|Anger-4|Someone coming towards you does not dim their headlights at night.|The time on the car's clock shows it's late as I steer my vehicle along a two-lane road.~In my field of vision, I notice a vehicle approaching from the opposite direction; its headlights are distinctly bright.~With steady hands on the wheel, I keep my car moving forward, and the gap between the oncoming vehicle and myself becomes smaller.~As the vehicle moves past my car, there is no change in the intensity of its headlights; they remain on high beam.~Following the encounter, I check my rearview mirror, then refocus on the road ahead, maintaining a consistent speed as I proceed with my journey.
88|Anxiety|Anxiety-0|You do not have control over your exam score.|I finish marking the last answer on the exam and take a moment to scan through my responses to ensure all questions are addressed.~I proceed to the front of the room, hand my exam to the instructor, and make my way out of the examination hall.~I navigate across the campus, mulling over the various exam questions I encountered, considering their structure and content.~I arrive at my dorm room and decide to engage in a range of activities to pass the time and switch my focus.~Several days pass, and I notice a new email in my inbox indicating that the exam results have been posted and are now accessible.
89|Anxiety|Anxiety-0|You cannot change the outcome of your job interview.|In preparation for the job interview, I spend time researching the company's background and go over my answers to typical interview questions to ensure I am well-prepared.~I arrive at the company's office and present myself at the reception desk. I am then directed to wait in the reception area until it is time for my interview session.~When summoned, I walk into the interview room and greet each of the interviewers with a handshake before being instructed to sit down in preparation for the interview to start.~Throughout the interview, I listen to the questions posed by the interviewers and provide detailed responses that highlight my relevant experience and skills for the position I am applying for.~After the interview concludes, I stand up, express gratitude to the interviewers for the opportunity to discuss the job, and then leave the room to make my way out of the company's office.
90|Anxiety|Anxiety-0|You cannot cope with the loss of a loved one.|I answer the phone and listen to the information being provided to me. The individual on the other end informs me of the passing of a loved one.~I arrive at the location where the memorial service is being held. I observe individuals gathering and various people speaking at the front.~I walk into the home that I once shared with the loved one. I take note of the stillness of the space where they used to be.~I begin to carry out my daily activities, but I am reminded of the loved one's absence in the midst of these routines.~I am lying in bed, the room is quiet, and I reflect on the alterations to my daily life.
91|Anxiety|Anxiety-0|You do not know what to do when facing a difficult financial situation.|I log into my online banking platform and review the account summary. The current balance displayed is lower than what I need for the expenses I have planned.~I take out a piece of paper and begin to list down all my financial commitments for the upcoming month, including utility bills, loan repayments, and other dues.~I spend time on the internet looking up different ways to manage financial shortfalls. This includes reading about loan options, ways to extend credit lines, and methods to improve budgeting.~I make phone calls and send emails to various financial advisors and banking institutions, asking for advice and discussing potential solutions to manage my financial situation.~After gathering information, I sit down and draft a detailed plan. This plan outlines a new budget, identifies opportunities for additional income, and sets a schedule to mitigate the current deficit in my bank account.
92|Anxiety|Anxiety-0|You are unprepared for the unexpected changes in your travel plans.|On reviewing my itinerary, I notice a mismatch in the departure times listed and the current flight schedule displayed on my app.~At the departure terminal, my attention is drawn to the flight information board, which indicates a destination that I was not expecting to see.~I make my way to the airline information desk and inquire about my original flight. The staff confirms that the flight's route has been changed, and it is now heading to an alternate city.~The airline staff go over the new arrangements with me. They explain that there will be a connecting flight that I can take, which is scheduled to leave later in the day.~Following the updated plan, I locate the gate assigned to the connecting flight and take a seat in the waiting area, keeping an ear out for the boarding call.
99|Anxiety|Anxiety-1|You are fearful of the upcoming presentation you have to deliver.|I look over the presentation materials thoroughly, checking each piece of data for accuracy and confirming that the slides are organized in the correct sequence.~I find an unoccupied room where I can rehearse my speech, monitoring the time spent on each part to ensure it fits within the planned timeframe.~I arrive at the venue with time to spare, arrange the equipment I will be using, and conduct tests on the audio-visual setup to ensure it operates correctly.~I position myself at the podium as the room begins to fill, glancing over my notes one last time in anticipation of the presentation's start time.~I commence the presentation, advancing through the slides methodically and responding to questions from the audience when the Q&A period arrives.
100|Anxiety|Anxiety-1|You are overwhelmed by the workload and deadlines at your job.|The current day presents itself on the calendar, revealing a clustering of project deadlines that require my attention.~Positioned at my desk, I undertake an examination of the task list, noting its extensive nature and the work that lies ahead.~Throughout the day, I partake in a series of meetings during which the list of responsibilities grows as new assignments are distributed to me.~With the departure of standard office hours, I persist in my efforts at the desk, addressing the tasks that demand completion.~I power down my computer in the later hours of the evening and exit the office, cognizant of the fact that this pattern of work is set to continue on the following day.
101|Anxiety|Anxiety-1|You must succeed in completing your project on time.|In the morning, I review the timeline set for the project and take note of the deadline that is approaching.~I proceed to organize my day by assigning each hour to specific tasks that are outstanding on the project.~During the execution of the tasks, I come across a complication that was not anticipated and it demands extra time to address.~I reassess the schedule for the tasks, make necessary adjustments, and continue working according to the updated list of priorities.~Upon completion of the last part of the project, I proceed to submit the project to the intended recipient within the time frame that was originally set.
102|Anxiety|Anxiety-1|You must perform well during the sports competition.|I check the list of items I will need for the competition and gather my equipment. I also look over the competition schedule carefully to make sure I know the timing of my events.~Upon reaching the competition venue, I proceed to the registration desk. I provide the necessary documentation, receive my participant number, and confirm my events on the provided schedule.~I find an open area to begin my warm-up. I perform a series of stretches and go through some of the key moves that I will need during the competition.~When my first event is called, I step onto the competition area and concentrate on each movement, making sure to follow the techniques I have rehearsed.~After completing my performance, I return to the seating area for competitors. I watch others as they perform, while waiting for the judges to announce the scores. I also mentally prepare for the next events on the schedule.
103|Anxiety|Anxiety-1|You knew that you would have to make a difficult decision at some point.|I recognize the necessity of making a choice.~I collect data and information pertinent to the situation at hand.~I analyze the potential consequences associated with every alternative available.~I engage in a process of evaluation, considering the advantages and disadvantages of each possibility.~I reach a conclusion, select an option, and initiate the steps to implement the decision.
115|Anxiety|Anxiety-2|You have control over how you react to criticism from others.|I open my email and find a message containing feedback on my project. The feedback lists various aspects that require enhancement.~I sit down to carefully read through the comments. I take notes to pinpoint the exact elements of the project that were highlighted for improvement.~I begin researching different techniques and strategies that could be applied to refine the project. I focus on finding solutions that are relevant to the criticisms received.~I start the revision process of the project. Methodically, I integrate the feedback into the work, making the necessary modifications to each part as suggested.~After completing the adjustments, I proceed to resubmit the project. I ensure that all changes are included and send it off for a subsequent round of evaluation.
116|Anxiety|Anxiety-2|You believe you can change the dynamics of a strained relationship.|I choose to start a dialogue to discuss previous discrepancies.~I set a meeting at a location that is known and impartial to both individuals.~I share my viewpoint regarding the series of events that contributed to the tension between us.~I pay attention to the other person as they relay their version of the events and their standpoint.~I suggest various options and middle grounds that might better the interaction between us.
117|Anxiety|Anxiety-2|You can make something productive out of your free time.|I look at my schedule and notice a block of free time has become available.~I review a list of tasks and projects, evaluating which ones could be addressed during this time.~After considering my options, I select a particular task that seems appropriate for the duration of this free period.~I collect all the items and information needed to start working on the selected task.~I use the available time to work methodically on the task, completing various steps until the period of free time has ended.
118|Anxiety|Anxiety-2|You are not sure if you will get a promotion at work.|I finish the last of my assigned work tasks and make a note of the time for my upcoming meeting with my supervisor, which is to cover discussions on career progress and potential promotions within the company.~While preparing for the meeting, I check my email inbox and come across an email from the company's management. The email contains details about the schedule for upcoming promotion announcements.~As the time for my meeting draws closer, I notice several of my colleagues engaging in conversation about their own meetings. They share details about the outcomes and feedback they received regarding their career advancements.~The time for my meeting arrives, and I make my way to the designated meeting room. I enter the room and sit down across from my supervisor, ready to discuss the details of my work performance and the prospects of a potential promotion.~After the meeting concludes, I exit the room with an understanding of my current career standing as conveyed by my supervisor, as well as the definitive decision regarding the promotion I was being considered for.
119|Anxiety|Anxiety-2|You do not want to face the confrontation with your neighbor.|The sound from the adjacent apartment reaches my attention due to its consistent volume over an extended period.~I deliberate on the idea of addressing the noise by speaking with my neighbor but ultimately decide to remain in my apartment.~To mitigate the intrusion of noise, I equip myself with headphones.~As time progresses, a series of knocks at my door occur. I choose not to respond.~The remainder of the evening is spent within my apartment, where the noise from next door is intermittently noticeable.
124|Anxiety|Anxiety-3|You are not being rational when jumping to conclusions.|Upon reviewing recent reports, I come across details that indicate a discrepancy that could lead to a potential issue.~Given the limited information at hand, I deduce that this discrepancy is likely to result in a problem. I do not have further data to confirm or deny this.~Based on my deduction, I proceed to make a series of decisions aimed at preempting the expected problem, altering plans and protocols accordingly.~Subsequent to my actions, I am presented with new findings that do not align with my earlier assessment. These findings challenge the likelihood of the problem occurring.~I take the new data into account and perform a thorough analysis. I now understand that the situation may not unfold as previously anticipated, and the initial concern may not materialize.
125|Anxiety|Anxiety-3|You hope time passes by faster during a tedious task.|Upon beginning the task at hand, I casually glance at the clock to log the current time.~As I delve deeper into the task, I intermittently check the clock, noting how time is incrementally progressing.~The task is underway and I'm aware of the sun's transition across the sky through the window, a natural marker of the hours that have elapsed.~Having achieved a considerable milestone in the task, I look at the clock again to see how much time has passed since I started.~With the task now complete, I cast a final look at the clock, confirming the alignment of the completion time with my initial expectations.
126|Anxiety|Anxiety-3|You are not sure if you will get a promotion at work.|I sit at my desk and examine the work that I've completed over the last twelve months. I make a list of what I have achieved and identify the skills I have worked to improve.~I enter the conference room for a scheduled meeting with my supervisor. We engage in a discussion about the promotion cycle and go over the requirements needed for advancement.~Post-meeting, I take time to reflect on the input given by my supervisor. I compare the specifics of the criteria for promotion to the notes from my self-evaluation.~During the course of the day, I observe the behavior of my coworkers. I notice a number of them are actively preparing their cases for promotion, while a few do not show signs of concern or interest in the process.~I find myself in a period of waiting after having ensured that all my responsibilities and necessary preparations for the promotion consideration have been met, as the company prepares to make its official announcement.
127|Anxiety|Anxiety-3|You can have a favorable outcome in your job application.|Upon receiving the email notification, I open it to confirm the date and time of the scheduled job interview for the position I have applied for.~I initiate a search on the internet to gather information about the company and the profiles of the individuals who will be conducting the interview to adequately prepare for the questions that might be asked.~During the job interview, I engage in conversation with the interviewers, responding to their queries and elaborating on my skills, qualifications, and work history.~Following the conclusion of the interview, I compose and dispatch a courteous email to the interviewers, expressing appreciation for the chance to interview with them.~I later receive an email from the company that acknowledges my follow-up and indicates that they will notify me of their hiring decision within the timeframe they have outlined.
128|Anxiety|Anxiety-3|When there is a change in routine: Visualize waking up to find out that your usual daily routine has been completely disrupted. Perhaps your usual mode of transportation is unavailable, or there is a sudden change in your work schedule or school timetable. The unexpected alteration forces you to adapt and make adjustments on the spot, leading to a sense of disorientation and the need to quickly readjust your plans.|My alarm clock sounds at the standard time I have set, which signals the start of my day as per my normal routine.~I pick up my phone to check for updates and find a notification indicating that the service I typically use for commuting is not available today.~I open my work calendar to review my appointments and tasks, only to notice that there have been substantial updates to my agenda, requiring my immediate attention.~Considering the situation, I evaluate the different transportation options at my disposal and decide on an alternative way to travel.~With the alternative transportation chosen, I proceed to reorganize the sequence and timing of my planned activities to fit with the new transportation arrangement and the updated work commitments.
133|Depression|Depression-0|You put in countless hours of preparation, pouring your heart and soul into pursuing your dream. The moment of truth arrives, and as you anxiously wait for the outcome, the news hits you like a tidal wave your expectations shattered, your vision crumbling. |Time is spent in thorough preparation, with attention to detail in anticipation of a goal I aim to achieve. Hours pass as I work diligently, aligning every action towards the desired end.~As the pivotal moment draws near, I continue with my tasks, aware of the effort that has been invested up until now. Each step is calculated, bringing me closer to the anticipated event.~The moment arrives for me to receive the pertinent information. I pause my activities to attend to the update, which will inform me of the progress made in relation to my objective.~Upon reviewing the information provided, it becomes apparent that the outcome deviates from what was previously anticipated. The variables and calculations that were once considered are now revisited.~In light of the new information, I take time to assess the situation. My initial plans are held up against this recent development, and I consider the necessary adjustments that will need to be made moving forward.
134|Depression|Depression-0|As you watch the confident smiles of your peers, you slowly realize that your name is not among the list of successful candidates for the dream job you've been striving for. Your heart sinks with each congratulatory message they receive, as you're left alone to face the overwhelming weight of unfulfilled expectations, your aspirations slipping further from your grasp.|I enter the room where the bulletin board is positioned, displaying the list of successful candidates.~I move closer to the board and begin to read through the names, looking for my own amidst those of my peers.~After reviewing the list thoroughly, it becomes apparent that my name is absent.~While still near the board, I notice other individuals engaging with their acquaintances who offer them words and gestures.~I decide to exit the building, contemplating the necessity of formulating a new plan for the path ahead.
135|Depression|Depression-0|As you pour countless hours of effort into achieving your long-awaited dream, the moment of truth arrives. With trembling anticipation, you eagerly await the results, hoping for success. However, as the news reaches your ears, a profound silence engulfs your heart, and the weight of disappointment crushes your spirit, leaving you questioning your worth and capabilities.|I allocate several hours to the task of preparing and laboring towards the goal that I have set for myself.~As the designated time approaches, I find myself in a state of alertness, awaiting the outcome of the work I have invested.~I am presented with information that conveys the results of my endeavors.~The information reveals that my efforts have not culminated in the realization of the objective I had aspired to.~I engage in a period of introspection, mulling over the results and what they mean for my understanding of my own capabilities and identity.
136|Depression|Depression-0|You stand in the dimly lit room, surrounded by crumpled papers and discarded dreams. The weight of missed opportunities and shattered ambitions presses upon your chest, suffocating the flickering flame of hope within. A haunting silence lingers, echoing the whispers of doubt that seep into your weary soul, leaving you trapped in a suffocating cocoon of unfulfilled potential.|The room's lighting is low, casting shadows across the floor where papers are scattered.~Looking around, I see an array of objects and materials indicating a variety of projects and tasks that appear to have been in progress.~A noticeable pressure develops on my chest, which constrains my deep breathing.~Silence pervades the space, leaving me in solitude to reflect.~I stand motionless, considering the state of the environment and my own place in it.
137|Depression|Depression-0|As you scroll through social media, you see your peers celebrating their achievements, showcasing their success in the very area where you fell short. Doubts creep in, whispering that you're not good enough, fueling the sinking feeling in your chest. Each passing day, the weight of your unmet goal grows heavier, casting a shadow on your dreams and leaving you questioning your worth.|I unlock my phone and launch a social media application. On the main feed, I see multiple posts where individuals display their accomplishments within a particular domain.~While scrolling, I become aware of a correlation between the field in which these individuals are showcasing success and an area where my own efforts had led to a different result.~As I continue to interact with the platform, I observe a consistent stream of content that focuses on personal and professional milestones achieved by others.~With further use of the application, the instances of encountering a contrast between the successful outcomes shared by others and my personal history in a similar context increase in frequency.~I dedicate a period to contemplate my objectives and review the extent of advancement I have achieved in my own pursuits.
138|Depression|Depression-1|As you stood by their bedside, tears streaming down your face, you held their hand tightly, feeling the warmth slowly fade away. The room grew silent, the air heavy with grief as their eyes closed for the last time, leaving behind an unbearable emptiness in your heart. Memories of laughter and love flooded your mind, reminding you of the profound loss that now engulfed your world.|I was standing by the bedside, taking note of the patient's vital signs which were shown on the monitoring equipment.~I was holding the patient's hand, observing a gradual reduction in temperature and a diminishing level of responsiveness.~The sounds in the room began to quiet down, and the patient's eyes stayed shut.~I stayed beside the patient, my mind involuntarily recounting various experiences shared with them.~The room's atmosphere shifted as the patient's active participation ceased.
139|Depression|Depression-1|As you stand in the dimly lit room, a heavy silence settles over you. The air feels suffocating, filled with remnants of memories that once brought joy. The photograph on the table captures the vibrant smile of your beloved grandmother, now forever frozen in time, reminding you of the void that her absence has created in your life.|I find myself standing in a room where the light is dim and the sound level is minimal.~The atmosphere of the room feels thick and unmoving.~On the table, there is a photograph that captures my grandmother with a smile.~I look closer at the photograph, acknowledging the fact that my grandmother has passed away.~I remain in the room, which contains various objects that bring to mind my grandmother's existence.
